COD_DANE;NOMBRE_INSTITUCION;CORREO_INSTITUCIONAL;DIRECCION;SEDE_PRINCIPAL;COD_SEDE_PRINCIPAL;LONGITUD;LATITUD;ESTADO;ID_DEPARTAMENTO;DEPARTAMENTO;ID_MUNICIPIO;MUNICIPIO;CALENDARIO;NATURALEZA;SECTOR;ZONA;JORNADA;NIVEL;TELEFONO;TIPO_TELEFONO
176001001656;INSTITUCION EDUCATIVA GUILLERMO VALENCIA;IE_GVALENCIA@CALI.GOV.CO;CRA 7N # 45A-08 BRR/POPULAR;S;176001001656;-76,5114373105;3,47423748933;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;4466502;FIJO
176001004159;CENTRO EDUCATIVO CENT DOC N. 50 PBRO ANGEL PIEDRAHITA;;CRA 8N # 51N - 35 BRR/OLAYA HERRERA;N;176001001656;-76,508881907;3,47932177348;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;B;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;4466774;FIJO
176001001664;INSTITUCION EDUCATIVA VICENTE BORRERO COSTA;JBORRERO@VALLEDELCAUCA.GOV.CO;CALLE 76 CARRERA 7S ESQUINA, B/ ALFONSO LÃƒÂ¿Ã‚Â¿PEZ III;S;176001001664;-76,4798816561;3,45348051778;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;ESPECIAL;EDUCACIÓN MEDIA;3187963172;CELULAR
176001003870;SEDE ALFONSO LOPEZ PUMAREJO;JBORRERO@VALLEDELCAUCA.GOV.CO;CLL 84 CR 7 A BIS;N;176001001664;-76,4803390987;3,45351025414;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;ESPECIAL;EDUCACIÓN BÁSICA SECUNDARIA;3187963172;CELULAR
176001004353;SEDE JOSE MARIA VILLEGAS;JBORRERO@VALLEDELCAUCA.GOV.CO;CL 82 CR 7D1 ESQ;N;176001001664;-76,4803915069;3,45358381769;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;ESPECIAL;EDUCACIÓN BÁSICA PRIMARIA;3187963172;CELULAR
176001006445;SEDE PRESBITERO ELOY VALENZUELA;JBORRERO@VALLEDELCAUCA.GOV.CO;CLL 74 # 7P BIS - 46;N;176001001664;-76,4803003859;3,45358623336;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;ESPECIAL;EDUCACIÓN MEDIA;3187963172;CELULAR
176001001672;INSTITUCION TEC DPTAL DE CIO STA CECILIA;SANTACECILIA1960@HOTMAIL.COM;CLL 61 AN # 2GN-62 B/ ALAMOS;S;176001001672;-76,5085732161;3,4882015372;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;B;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;6643550;FIJO
176001003110;CENTRO EDUCATIVO CENT DOC N. 44 REP DE FRANCIA;;CLL 62 NTE NO. 2BN-00 BRR/LOS ALAMO;N;176001001672;-76,505832785;3,48624638;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;B;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA SECUNDARIA;6651433;FIJO
176001004655;CENTRO EDUCATIVO N. 93 REP DEL BRASIL;;CL 43N # 7N-03;N;176001001672;-76,5085634484;3,48822423758;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;B;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;6646107;FIJO
176001042409;CENTRO EDUCATIVO REPUBLICA DEL BRASIL ALTO MENGA;;CL 53AN N 8 - 27;N;176001001672;-76,5085776373;3,48819327178;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;B;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA PRIMARIA;6540699;FIJO
176001042760;CENTRO EDUCATIVO CENT DOC BRISAS DE LOS ALAMOS;;AV 2BN # 72AN;N;176001001672;-76,5086027702;3,48821829842;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;B;OFICIAL;OFICIAL;URBANO;NOCTURNA;EDUCACIÓN MEDIA;6650489;FIJO
176001043634;COLEGIO SAN CARLOS BORROMEO;;AÑTOS NORMANDIA;N;176001001672;-76,478918;3,31249;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;B;OFICIAL;OFICIAL;URBANO;NOCTURNA;NIVELES EDUCATIVOS ESPECIALES;;
176001043936;SANTA CECILIA N. 2;;CL 62 NTE # 2 B - 00;N;176001001672;-76,505832785;3,48624638;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;NOCTURNA;NIVELES EDUCATIVOS ESPECIALES;6649075;FIJO
276001011745;CENTRO EDUCATIVO CENT DOC N. 84 LA INMACULADA;;VDA BATACLAN;N;176001001672;-76,508583;3,488181;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;B;OFICIAL;OFICIAL;RURAL;UNICA;EDUCACIÓN MEDIA;6540699;FIJO
276001043922;SANTA CECILIA N. 2;;CL 62 NTE # 2 B - 00;N;176001001672;-76,4913911543;3,32756784289;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;RURAL;ESPECIAL;NIVELES EDUCATIVOS ESPECIALES;6649075;FIJO
176001001681;INSTITUCION EDUCATIVA ALBERTO CARVAJAL BORRERO;IEALCOBO@HOTMAIL.COM;CARRERA 16N # 18N 123, BARRIO CAMPAMENTO;S;176001001681;-76,494579038;3,44413982;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;4437206;FIJO
176001003128;SEDE CACIQUE GUATAVITA;JBORRERO@VALLEDELCAUCA.GOV.CO;CLL 54 # 15A-20 BRR/CHAPINERO;N;176001001681;-76,498657627;3,443073102;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;3187963172;CELULAR
176001004191;SEDE ABRAHAM DOMINGUEZ;JBORRERO@VALLEDELCAUCA.GOV.CO;CRA 14 # 57-19 BRR/EL TREBOL;N;176001001681;-76,495577331;3,444956412;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA PRIMARIA;3187963172;CELULAR
176001001699;INSTITUCION EDUCATIVA LA MERCED;IE_LAMERCED@CALI.GOV.CO;CLL 47 # 4E-30;S;176001001699;-76,503094705;3,462375995;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;4478582;FIJO
176001004094;SEDE SAN PEDRO ALEJANDRINO;JBORRERO@VALLEDELCAUCA.GOV.CO;CRA 4E # 46 - 04;N;176001001699;-76,503675498;3,462188462;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA SECUNDARIA;3187963172;CELULAR
176001012119;SEDE SAN VICENTE DE PAUL;JBORRERO@VALLEDELCAUCA.GOV.CO;CRA 2B # 45A-20 BRR/SALOMIA;N;176001001699;-76,50591902;3,465211075;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA PRIMARIA;3187963172;CELULAR
176001027213;SEDE CENDOE CENTRO DE DIAGNOSTICO Y ORIENTACION ESCOLAR;JBORRERO@VALLEDELCAUCA.GOV.CO;CLL 44A #4B-00 BRR/LAS DELICIAS;N;176001001699;-76,507039272;3,461634503;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA SECUNDARIA;3187963172;CELULAR
176001001702;INSTITUCION EDUCATIVA GENERAL ALFREDO VASQUEZ COBO;ADMINISTRADOR@IEAVASQUEZCOBOCALI.EDU.CO;CLL 15A # 22A-37 BRR/MANJUEZ;S;176001001702;-76,525188608;3,436811597;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;MAÑANA, UNICA;EDUCACIÓN MEDIA;3108179601;CELULAR
176001004680;SEDE NUESTRA SEÑORA DE LOS REMEDIOS;ADMINISTRADOR@IEAVASQUEZCOBOCALI.EDU.CO;KR 17D 18 46;N;176001001702;-76,5764925891;3,3990437228;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA SECUNDARIA;3127972905;CELULAR
176001004965;SEDE REPUBLICA DEL ECUADOR;ADMINISTRADOR@IEAVASQUEZCOBOCALI.EDU.CO;CLL 16 # 18A - 54;N;176001001702;-76,524984729;3,439392036;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA PRIMARIA;3127965118;CELULAR
176001001729;INSTITUCION TEC NAL DE CIO SIMON RODRIGUEZ;;CRA 1 D BIS # 49-98 B/ EL SENA;S;176001001729;-76,50374571;3,470444061;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;B;OFICIAL;OFICIAL;URBANO;MAÑANA;EDUCACIÓN MEDIA;4462311;FIJO
176001004272;CENTRO EDUCATIVO CENT DOC N. 57 MA PANESSO;;CL 46C# 3-00;N;176001001729;-76,5038222451;3,47056469675;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;B;OFICIAL;OFICIAL;URBANO;MAÑANA;EDUCACIÓN BÁSICA SECUNDARIA;4495861;FIJO
176001001001;CENTRO EDUCATIVO CENT DOC N. 59 LA PRESENTACION;;CRA 30 DIAG 29-06 B.TRES DE JULIO;N;176001001745;-76,514616512;3,426639224;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;B;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA PRIMARIA;5383141;FIJO
176001001745;LICEO DPTAL FEMENINO;IE_LICEODEPARTAMENTAL@CALI.GOV;CRA 37 A #8-38 B.EUCARISTICO;S;176001001745;-76,538885419;3,423031897;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;B;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;5141714;FIJO
176001004990;CENTRO EDUCATIVO CENT DOC N. 55 LA GRAN COLOMBIA;;CRA 24# 7 - 74;N;176001001745;-76,536698485;3,435757069;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;B;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA PRIMARIA;5580066;FIJO
176001001753;INSTITUCION EDUCATIVA TECNICA INDUSTRIAL ANTONIO JOSE CAMACHO;IE.ANTONIOJOSECAMACHO@CALI.EDU.CO;KR 16 12 00 BRR GUAYAQUIL;S;176001001753;-76,5295076279;3,44053648526;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;5587194;FIJO
176001003209;SEDE OLGA LUCIA LLOREDA;JBORRERO@VALLEDELCAUCA.GOV.CO;CRA 23A # 13B-11 BRR/JUNIN;N;176001001753;-76,52684669;3,435324255;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA PRIMARIA;3187963172;CELULAR
176001003381;SEDE MARCO FIDEL SUAREZ;JBORRERO@VALLEDELCAUCA.GOV.CO;CRA 16 # 6-61;N;176001001753;-76,534971388;3,440629337;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA SECUNDARIA;3187963172;CELULAR
176001004949;SEDE REPUBLICA DEL PERU;JBORRERO@VALLEDELCAUCA.GOV.CO;CLL 9E # 23- 02;N;176001001753;-76,5295893042;3,44051385025;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA SECUNDARIA;3187963172;CELULAR
176001021843;JARDIN INFANTIL DIVINO SALVADOR;JBORRERO@VALLEDELCAUCA.GOV.CO;CRA 15 #6-102 B.ALAMEDA;N;176001001753;-76,535517779;3,440546381;ACTIVA;76;VALLE DEL CAUCA;76001;CALI;A;OFICIAL;OFICIAL;URBANO;UNICA;PREESCOLAR;3187963172;CELULAR
