COD_DANE;NOMBRE_INSTITUCION;CORREO_INSTITUCIONAL;DIRECCION;SEDE_PRINCIPAL;COD_SEDE_PRINCIPAL;LONGITUD;LATITUD;ESTADO;ID_DEPARTAMENTO;DEPARTAMENTO;ID_MUNICIPIO;MUNICIPIO;CALENDARIO;NATURALEZA;SECTOR;ZONA;JORNADA;NIVEL;TELEFONO;TIPO_TELEFONO;FUENTE_COORDENADAS;CONFIA_GEO
105001000001;INSTITUCION EDUCATIVA FE Y ALEGRIA JOSE MARIA VELAZ;;CLL 121 # 48-67;S;105001000001;-75,55029834;6,30390894;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;4644146;FIJO;SECRETARIAS;MEDIO
105001000043;INSTITUCION EDUCATIVA BARRIO STA CRUZ;;CLL 103 # 43 A 23;S;105001000043;-75,55037972;6,292219118;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;5285220;FIJO;SECRETARIAS;MEDIO
105001000094;INSTITUCION EDUCATIVA COSMO SCHOOLS SEDE ARANJUEZ;ODANDRESA.VILLA@MEDELLIN.GOV.CO;CR 51 B # 91-95;S;105001000094;0;0;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;ORGANIZACI”N SOLIDARIA SIN FINES DE LUCRO;NO OFICIAL;URBANO;MA—ANA;EDUCACI”N B¡SICA SECUNDARIA;3103016666;CELULAR;SIN COORDENADAS;BAJO
105001000108;INSTITUCION EDUCATIVA CENT FORMATIVO DE ANTIOQUIA CEFA;;CLL 50 # 41-55;S;105001000108;-75,56176658;6,24627687;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2393774;FIJO;SECRETARIAS;MEDIO
105001000132;INSTITUCION EDUCATIVA JOSE MARIA BERNAL;;CR 70 A # 13 A 19;S;105001000132;-75,59362742;6,22033;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;3432086;FIJO;SECRETARIAS;MEDIO
105001000141;INSTITUCION EDUCATIVA PBRO CAMILO TORRES;;CR 49 # 83-34;S;105001000141;-75,557333;6,276318786;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2338044;FIJO;SECRETARIAS;MEDIO
105001000175;COLEGIO GABRIEL RESTREPO MORENO;IGRPOMOR@EDUCAME.GO.CO;CR 39 A # 85-59;S;105001000175;-75,5484617;6,27681857;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2631645;FIJO;SECRETARIAS;MEDIO
105001002852;ESCUELA URB STA BERNARDITA;;CR 40 # 85 A 20;N;105001000175;-75,54854352;6,27736906;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2632428;FIJO;SECRETARIAS;MEDIO
105001000205;INSTITUCION EDUCATIVA SAN AGUSTIN;;CLL 88 A # 51 B 91;S;105001000205;-75,56303665;6,27987361;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2630607;FIJO;SECRETARIAS;MEDIO
105001000256;INSTITUCION EDUCATIVA HECTOR ABAD GOMEZ;;CLL 50 # 39-65;S;105001000256;-75,560011;6,245445;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2161258;FIJO;SECRETARIAS;MEDIO
105001026158;SECCION DARIO LONDO—O CARDONA;;CLL 44 # 43-96;N;105001000256;-75,56561878;6,243449099;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;NOCTURNA;EDUCACI”N B¡SICA SECUNDARIA;2623588;FIJO;SECRETARIAS;MEDIO
105001000353;INSTITUCION EDUCATIVA JUAN DE LA CRUZ POSADA;;CLL 62 # 39-22;S;105001000353;-75,55451926;6,25382572;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2549659;FIJO;SECRETARIAS;MEDIO
105001002577;COLEGIO AGUSTIN NIETO CABALLERO;WWW.IANIETO@EDUCAME.GOV.CO;CRA 40 # 59 A 21;N;105001000353;-75,55707887;6,25248184;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA SECUNDARIA;2549133;FIJO;SECRETARIAS;MEDIO
105001002836;ESCUELA FCO ANTONIO URIBE;;CLL 66 # 39-75;N;105001000353;-75,55165803;6,25795524;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA SECUNDARIA;2545366;FIJO;SECRETARIAS;MEDIO
105001003158;ESCUELA HIPOLITO LONDO—O MESA;;CLL 59 # 39-54;N;105001000353;-75,55622378;6,252449942;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA PRIMARIA;2925480;FIJO;SECRETARIAS;MEDIO
105001000396;INSTITUCION EDUCATIVA JOSE ACEVEDO Y GOMEZ;IJAGACEVED@EDUCAME.GOV.CO;CLL 8 SUR # 52 C 20;S;105001000396;-75,5892116;6,202110993;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2552996;FIJO;SECRETARIAS;MEDIO
105001000477;ESCUELA REPUBLICA DE COSTA RICA;;CR 52 # 7 SUR 23;N;105001000396;-75,58825143;6,202538627;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2852538;FIJO;SECRETARIAS;MEDIO
105001008231;ESCUELA LA COLINA;;CR 52 C # 12 A SUR 23;N;105001000396;-75,59195863;6,197413784;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA PRIMARIA;2550356;FIJO;SECRETARIAS;MEDIO
105001015105;ESCUELA GABRIELA MISTRAL;IGMISTRA@EDUCAME.GOV.CO;CLL 10 SUR # 52-09;N;105001000396;-75,58948719;6,199569973;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2551446;FIJO;SECRETARIAS;MEDIO
105001000418;INSTITUCION EDUCATIVA LA MILAGROSA;;CR 29 # 41-14;S;105001000418;-75,5544601;6,23515742;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2215773;FIJO;SECRETARIAS;MEDIO
105001002381;ESCUELA STO TOMAS DE AQUINO;;CR 33 # 36 A 28;N;105001000418;-75,5589598;6,23357174;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA SECUNDARIA;2163229;FIJO;SECRETARIAS;MEDIO
105001000485;INSTITUCION EDUCATIVA LA SALLE CAMPO AMOR;;CR 65 B # 4-49;S;105001000485;-75,587749;6,212604;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;;EDUCACI”N MEDIA;2851571;FIJO;SECRETARIAS;MEDIO
105001000493;INSTITUCION EDUCATIVA RAMON GIRALDO CEBALLOS;;CLL 21 # 82 A 56;S;105001000493;0;0;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;;EDUCACI”N MEDIA;2383946;FIJO;SIN COORDENADAS;BAJO
105001000566;INSTITUCION EDUCATIVA CARACAS;ICCARACA@EDUCAME.GOV.CO;CLL 54 # 33-67;S;105001000566;-75,554035;6,244825;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;MA—ANA;EDUCACI”N MEDIA;2168993;FIJO;SECRETARIAS;MEDIO
105001002062;ESCUELA BEATO HNO SALOMON;;CLL 53 # 27 A 50;N;105001000566;-75,54933411;6,243846687;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;MA—ANA;EDUCACI”N B¡SICA SECUNDARIA;2695371;FIJO;SECRETARIAS;MEDIO
105001000621;ESCUELA NORM SUP DE MEDELLIN;MEDENS01@EDATEL.NET.CO;CR 34 # 65-02;S;105001000621;-75,54862004;6,25357937;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2840205;FIJO;SECRETARIAS;MEDIO
105001000795;INSTITUCION EDUCATIVA ALFREDO COCK ARANGO;IACOCK@EDUCAME.GOV.CO;CR 72 # 99-55;S;105001000795;-75,573819;6,296386;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2677552;FIJO;SECRETARIAS;MEDIO
105001007471;ESCUELA CONTRANAL;;CLL 100 # 74 A 25;N;105001000795;-75,57650895;6,29805982;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2379168;FIJO;SECRETARIAS;MEDIO
105001000809;INSTITUCION EDUCATIVA PERPETUO SOCORRO;;CR 92 # 34 D 53;S;105001000809;-75,61820001;6,24599467;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2539037;FIJO;SECRETARIAS;MEDIO
105001000841;INSTITUCION EDUCATIVA EL ROSAL;;CR 72 # 95-20;S;105001000841;-75,57483334;6,29131742;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2373197;FIJO;SECRETARIAS;MEDIO
105001000868;INSTITUCION EDUCATIVA REPUBLICA DE VENEZUELA;;CLL 31 C # 89 C 62;S;105001000868;-75,61458;6,234725;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2388255;FIJO;SECRETARIAS;MEDIO
105001000876;INSTITUCION EDUCATIVA JAVIER A LONDO—O;;CLL 71 # 51 D 26;S;105001000876;-75,56515715;6,26778779;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2116666;FIJO;SECRETARIAS;MEDIO
105001000931;INSTITUCION EDUCATIVA DIEGO ECHAVARRIA MISAS;IDECHAVA@EDUCAME.GOV.CO;CLL 111 # 70-68;S;105001000931;0;0;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2733190;FIJO;SIN COORDENADAS;BAJO
105001001139;ESCUELA EDUARDO URIBE BOTERO;;CR 74 # 112-30;N;105001000931;-75,56926333;6,30871599;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA PRIMARIA;2730531;FIJO;SECRETARIAS;MEDIO
105001005657;ESCUELA ESTADO DE ISRAEL;;CL 111 # 70 68;N;105001000931;0;0;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;4719980;FIJO;SIN COORDENADAS;BAJO
105001000159;ESCUELA TOMAS CARRASQUILLA N. 1;;KR 53 # 95-25;N;105001000981;0;0;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N B¡SICA PRIMARIA;2592255;FIJO;SIN COORDENADAS;BAJO
105001000981;INSTITUCION EDUCATIVA GILBERTO ALZATE AVENDA—O 1 AGRUP;;CLL 92 # 51 A 100;S;105001000981;-75,562417;6,284282;ACTIVA;05;ANTIOQUIA;05001;MEDELLÕN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACI”N MEDIA;2363308;FIJO;SECRETARIAS;MEDIO
