COD_DANE;NOMBRE_INSTITUCION;CORREO_INSTITUCIONAL;DIRECCION;SEDE_PRINCIPAL;COD_SEDE_PRINCIPAL;LONGITUD;LATITUD;ESTADO;ID_DEPARTAMENTO;DEPARTAMENTO;ID_MUNICIPIO;MUNICIPIO;CALENDARIO;NATURALEZA;SECTOR;ZONA;JORNADA;NIVEL;TELEFONO;TIPO_TELEFONO
385010800064;CENTRO INFANTIL MIS PEQUEÑOS GENIOS;LINAMARI37@HOTMAIL.COM;KR 7 12 35 BRR 10 DE MAYO;S;;-72,5435020906888;5,16719486409699;ACTIVA;85;CASANARE;85010;AGUAZUL;A;PERSONA NATURAL;NO OFICIAL;URBANO;UNICA;PREESCOLAR;3125934964;CELULAR
399001800087;CENTRO EDUCATIVO ESTRELLITAS DEL MAÑANA;CEESTRELLITASDELMANANA@GMAIL.COM;KR 12 244 47 BRR CAMILO CORTEZ;S;;-68,1412223364;5,83652966857;ACTIVA;99;VICHADA;99001;PUERTO CARREÑO;A;PERSONA NATURAL;NO OFICIAL;URBANO;MAÑANA;PREESCOLAR;3507058726;CELULAR
405001800435;CENTRO EDUCATIVO COLEGIO BELEN CAMPESTRE;INFO@COLEGIOBELENCAMPESTRE.COM;KR 93A 6 65 S VD JARDIN;S;;-75,6110310656;6,25759025899;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;PERSONA NATURAL;NO OFICIAL;RURAL;UNICA;EDUCACIÓN BÁSICA PRIMARIA;3153849777;CELULAR
405440800026;COLEGIO VERITAS;CVERITAS2023@GMAIL.COM;VEREDA ALTO DEL MERCADO, VIA MARINILLA EL PEÑOL KM 2;S;;-75,315334;6,178399;ACTIVA;05;ANTIOQUIA;05440;MARINILLA;A;ORGANIZACIÓN CON FINES DE LUCRO;NO OFICIAL;RURAL;ESPECIAL;NIVELES EDUCATIVOS ESPECIALES;3146315060;CELULAR
405607800023;COLEGIO SANTA MARIA DE LOS ANGELES;FDIEZ@PILARESDELCASTILLO.COM.CO;VD EL SALADO;S;;-75,5157312131;6,05146585316;ACTIVA;05;ANTIOQUIA;05607;RETIRO;A;ORGANIZACIÓN SOLIDARIA SIN FINES DE LUCRO;NO OFICIAL;RURAL;UNICA;EDUCACIÓN BÁSICA PRIMARIA, EDUCACIÓN BÁSICA SECUNDARIA;3137508641;CELULAR
405615800075;PREESCOLAR MI FINQUITA DE ORIENTE;DUBAGOMA78@HOTMAIL.COM;VEREDA BARRO BLANCO;S;;-75,407263;6,151952;ACTIVA;05;ANTIOQUIA;05615;RIONEGRO;A;ORGANIZACIÓN CON FINES DE LUCRO;NO OFICIAL;RURAL;ESPECIAL;NIVELES EDUCATIVOS ESPECIALES;3218100707;CELULAR
405615800083;COLEGIO HOLSS SAS;SEBASGOMEZ@MATTELSA.NET;KM 3 VEREDA CHIPRE;S;;-75,3977550044858;6,13079321880179;ACTIVA;05;ANTIOQUIA;05615;RIONEGRO;A;ORGANIZACIÓN CON FINES DE LUCRO;NO OFICIAL;RURAL;COMPLETA;EDUCACIÓN BÁSICA SECUNDARIA;3005087191;CELULAR
413001800012;GIMNASIO CRISTIANO DE BOCACHICA;GIMNASIOCRISTIANODEBOCACHICA@OUTLOOK.COM;BARRIO SINAI, CARRERA 7, NÂ° 2-83;S;;-75,5819831954681;10,3239322563933;ACTIVA;13;BOLÍVAR;13001;CARTAGENA DE INDIAS;A;ORGANIZACIÓN CON FINES DE LUCRO;NO OFICIAL;RURAL;ESPECIAL;NIVELES EDUCATIVOS ESPECIALES;3114339405;CELULAR
413001801094;GIMNASIO INFANTIL DEL NORTE;GIMNASIOINFANTILDELNORTE.EDU@GMAIL.COM;KR 9 75 23;S;;-75,49231258;10,47859722;ACTIVA;13;BOLÍVAR;13001;CARTAGENA DE INDIAS;A;ORGANIZACIÓN CON FINES DE LUCRO;NO OFICIAL;RURAL;UNICA;PREESCOLAR, EDUCACIÓN BÁSICA PRIMARIA;3173644045;CELULAR
415500800018;CENTRO PEDAGOICO MANDALA PIKY UBA;CENTROPEDAGOGICOMANDALAPIKYUBA@GMAIL.COM;LT 2 VEREDA FORANTIVA;S;;-73,265452;5,606771;ACTIVA;15;BOYACÁ;15500;OICATÁ;A;PERSONA NATURAL;NO OFICIAL;RURAL;COMPLETA;PREESCOLAR, EDUCACIÓN BÁSICA PRIMARIA;3054233904;CELULAR
